token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
47712,NIFTY10JUN2115000CE,NIFTY,10JUN2021,1500000.000000,75,OPTIDX,NFO,5.000000
48789,NIFTY30SEP2113500CE,NIFTY,30SEP2021,1350000.000000,75,OPTIDX,NFO,5.000000
53934,NIFTY29JUL2115650PE,NIFTY,29JUL2021,1565000.000000,50,OPTIDX,NFO,5.000000
52490,NIFTY01JUL2114700CE,NIFTY,01JUL2021,1470000.000000,75,OPTIDX,NFO,5.000000
39472,NIFTY08JUL2115450CE,NIFTY,08JUL2021,1545000.000000,75,OPTIDX,NFO,5.000000
44967,NIFTY10JUN2116500CE,NIFTY,10JUN2021,1650000.000000,75,OPTIDX,NFO,5.000000
52488,NIFTY01JUL2114650CE,NIFTY,01JUL2021,1465000.000000,75,OPTIDX,NFO,5.000000
52861,NIFTY26AUG2116600PE,NIFTY,26AUG2021,1660000.000000,50,OPTIDX,NFO,5.000000
53855,NIFTY29JUL2114250CE,NIFTY,29JUL2021,1425000.000000,50,OPTIDX,NFO,5.000000
45795,NIFTY10JUN2116650CE,NIFTY,10JUN2021,1665000.000000,75,OPTIDX,NFO,5.000000
49959,NIFTY29DEC2212500CE,NIFTY,29DEC2022,1250000.000000,75,OPTIDX,NFO,5.000000
45882,NIFTY22JUL2116550PE,NIFTY,22JUL2021,1655000.000000,75,OPTIDX,NFO,5.000000
52854,NIFTY26AUG2116550CE,NIFTY,26AUG2021,1655000.000000,50,OPTIDX,NFO,5.000000
51207,NIFTY17JUN2113350PE,NIFTY,17JUN2021,1335000.000000,75,OPTIDX,NFO,5.000000
51988,NIFTY26AUG2114350PE,NIFTY,26AUG2021,1435000.000000,50,OPTIDX,NFO,5.000000
52721,NIFTY01JUL2116050PE,NIFTY,01JUL2021,1605000.000000,75,OPTIDX,NFO,5.000000
44974,NIFTY10JUN2116600PE,NIFTY,10JUN2021,1660000.000000,75,OPTIDX,NFO,5.000000
47627,NIFTY10JUN2114200CE,NIFTY,10JUN2021,1420000.000000,75,OPTIDX,NFO,5.000000
49155,NIFTY10JUN2116750CE,NIFTY,10JUN2021,1675000.000000,75,OPTIDX,NFO,5.000000
